capital,x,y
Amsterdam,-132,34
Andorra la Vella,-194,-197
Athens,148,-290
Belgrade,100,-149
Berlin,-8,20
Bern,-101,-104
Bratislava,58,-72
Brussels,-143,-14
Bucharest,181,-156
Budapest,84,-94
Chisinau,226,-103
Copenhagen,-21,105
Dublin,-302,43
Helsinki,173,239
Kyiv,262,-25
Lisbon,-346,-274
Ljubljana,7,-128
London,-211,-1
Luxembourg,-113,-46
Madrid,-254,-237
Minsk,213,57
Monaco,-96,-174
Moscow,370,108
Nicosia,290,-341
Oslo,-47,229
Paris,-172,-67
Podgorica,71,-200
Prague,9,-39
Pristina,105,-188
Reykjavik,-409,275
Riga,153,144
Rome,-14,-208
San Marino,-23,-169
Sarajevo,57,-165
Skopje,118,-213
Sofia,158,-196
Stockholm,62,212
Tallinn,164,207
Tirana,92,-234
Vaduz,-51,-103
Valletta,9,-329
Vienna,21,-75
Vilnius,162,84
Warsaw,112,21
Zagreb,44,-129
